timestep,reward,q_value,loss
0,201.46223401133528,-0.01652596704661846,
1,201.4619318473746,-0.016531338915228844,
2,201.4616026413661,-0.016536707058548927,
3,201.46124760813547,-0.016542110592126846,
4,201.46086791848418,-0.01654755137860775,
5,201.46046470331953,-0.016553189605474472,
6,201.46003905868648,-0.016559574753046036,
7,201.4595920515813,-0.01656665839254856,
8,201.45912472642667,-0.016573842614889145,
9,201.4586381120876,-0.016580920666456223,
10,201.36369634034205,-0.0165419839322567,
11,201.36329937717346,-0.016548853367567062,
12,201.36286461608657,-0.01474202424287796,40607.64453125
13,201.36239426417887,-0.013429222628474236,40597.71875
14,201.36189060543612,-0.012285696342587471,40588.7265625
15,201.36135599782622,-0.011660700663924217,40582.90625
16,201.45477840725783,-0.011103618890047073,40574.4453125
17,201.360203718143,-0.010377843864262104,40569.578125
18,201.35959110117702,-0.0093458890914917,40565.76171875
19,201.35895763721322,-0.008240791037678719,40532.8515625
20,201.35830599828836,-0.006966434419155121,40559.1328125
21,201.35763890511976,-0.005695648491382599,40593.23828125
22,201.35695912127116,-0.004403582774102688,40561.49609375
23,201.35626944679683,-0.0030347153078764677,40552.5
24,201.35557271135582,-0.001589281135238707,40556.8046875
25,201.35487176679254,-8.799061470199376e-05,40527.26171875
26,201.3541694791892,0.0013590343296527863,40558.1015625
27,201.3534687204012,0.0028656930662691593,40565.02734375
28,201.35277235909552,0.0044183991849422455,40539.609375
29,201.35208325131944,0.006040860898792744,40502.9453125
30,201.35140423063544,0.007770759053528309,40486.609375
31,201.2171147364578,0.00958254374563694,40613.5625
32,201.3500876105062,0.011559401638805866,40571.31640625
33,201.34945547184344,0.01367238350212574,40541.69921875
34,201.34884431988854,0.015959158539772034,40553.98828125
35,201.34825671615528,0.018446238711476326,40538.92578125
36,201.34769513439284,0.021148238331079483,40487.5078125
37,201.34716194934958,0.024092646315693855,40527.42578125
38,201.21345853901957,0.02726583741605282,40483.26171875
39,,,
40,,,
41,201.2122915142616,,
42,,,
43,201.39646859548824,,
44,201.34439845085876,,
45,,,
46,201.4393838429716,,
47,201.21091770107967,,
48,201.2108256769406,,
49,201.3436622765787,,
50,201.3955468195076,,
51,201.34368519097006,,
52,201.34376525920112,,
53,201.43931246804456,,
54,201.43946516788557,,
55,201.43965726702777,,
56,201.4398878519327,,
57,201.44015583601575,,
58,201.44045997014467,,
59,201.44079885452962,,
60,201.44117095181338,,
61,201.4415746011546,,
62,201.44200803308294,,
63,201.44246938489908,,
64,201.44295671638938,,
65,201.4434680256241,,
66,201.4440012646168,,
67,201.4445543546292,,
68,201.4451252009208,,
69,201.4457117067585,,
70,201.4463117865198,,
71,201.44692337774563,,
72,201.44754445202068,,
73,201.44817302458335,,
74,201.44880716259186,,
75,201.44944499199616,,
76,201.45008470299072,,
77,201.45072455404335,,
78,201.45136287451837,,
79,201.4519980659308,,
80,201.45262860188544,,
81,201.4532530267708,,
82,201.45386995329142,,
83,201.45447805893104,,
84,201.4550760814523,,
85,201.4556628135402,,
86,201.45623709670843,,
87,201.4567978145855,,
88,201.4573438857043,,
89,201.4578742559175,,
90,201.4583878905638,,
91,201.45888376650782,,
92,201.45936086417686,,
93,201.45981815971726,,
94,201.4602546173914,,
95,201.46066918233575,,
96,201.4610607738005,,
97,201.46142827899035,,
98,201.46177054762623,,
99,201.46208638734961,,
100,201.46237456009004,,
101,201.46263377952,,
102,201.46286270972195,,
103,201.46305996519467,,
104,201.46322411232785,,
105,201.46335367247676,,
106,201.4634471267688,,
107,201.53178838278913,,
108,201.46351948319133,,
109,201.4634952166251,,
110,201.46342853067807,,
111,201.46331784738564,,
112,201.46316162116514,,
113,201.46295835936135,,
114,201.46270664547683,,
115,201.4624051651487,,
116,201.4620527349064,,
117,201.4616483337067,,
118,201.46119113720061,,
119,201.46068055462692,,
120,201.4601162681663,,
121,201.4594982745046,,
122,201.45882692826348,,
123,201.45810298684438,,
124,201.45732765610197,,
125,201.4565026361177,,
126,201.45563016617618,,
127,201.45471306786024,,
128,201.45375478497755,,
129,201.45275941881476,,
130,201.45173175699006,,
131,201.45067729395294,,
132,201.4496022409784,,
133,201.44851352199163,,
134,201.44741876046118,,
135,201.4463262366418,,
136,201.44524483620708,,
137,201.44418397144744,,
138,201.44315347999532,,
139,201.44216349927706,,
140,201.44122431693938,,
141,201.4403461987569,,
142,201.43953919700675,,
143,201.43881294390823,,
144,201.43817643635967,,
145,201.43763781969258,,
146,201.4372041793278,,
147,201.43688134987366,,
148,201.43667375118872,,
149,201.43658426015324,,
150,201.4366141253343,,
151,201.4367629294922,,
152,201.43702860214088,,
153,201.437407481418,,
154,201.43789442163956,,
155,201.43848294039535,,
156,201.43916539712953,,
157,201.4399331939715,,
158,201.44077698919637,,
159,201.4416869140274,,
160,201.44265278442495,,
161,201.4436643008575,,
162,201.44471123063266,,
163,201.44578356900655,,
164,201.44687167684864,,
165,201.44796639401494,,
166,201.44905912871872,,
167,201.45014192498135,,
168,201.45120750425426,,
169,201.4522492981974,,
170,,,
171,201.45423883394287,,
172,201.45517699535037,,
173,201.4560721701771,,
174,201.45692123046447,,
175,201.45772165100033,,
176,201.4584714676338,,
177,201.4591692330918,,
178,201.4598139714807,,
179,201.46040513246166,,
180,201.46094254590997,,
181,201.46142637771396,,
182,201.4618570872279,,
183,201.4622353867773,,
184,201.46256220350898,,
185,201.46283864379402,,
186,201.4630659603181,,
