;0;1;2;3;4;5;6
0;28.495602516082652;15.62596916516129;14.868263167121995;26.887465951187444;46.06579700912544;9.801064404417172;18.60241423278495
1;28.494718992538264;15.625428910915973;14.868591353016386;26.886656652032915;46.06743603602296;9.801584620097724;18.602157118260575
2;28.493836409703132;15.624889179904407;14.86891964934222;26.885848177887905;46.06907340981097;9.802105179629397;18.601900243171336
3;28.492955656002085;15.624350516164975;14.869247741680933;26.885041349075433;46.07070751836412;9.802625582652357;18.601643885109052
4;28.492077608886106;15.62381345670985;14.86957529971601;26.884236969625476;46.07233673286537;9.803145304032956;18.60138829958081
5;28.49120314290528;15.62327853697895;14.869901992328105;26.883435841026078;46.07395942937055;9.803663816708742;18.601133741309464
6;28.49033312883949;15.622746290306624;14.870227487948284;26.88263876143111;46.075573990427756;9.804180592251845;18.600880463980456
7;28.489468432833903;15.622217247389727;14.870551454907948;26.88184652486424;46.07717880668925;9.80469510143989;18.60062871998933
8;28.48860991554109;15.621691935757829;14.870873561799666;26.881059920429884;46.07877227851422;9.805206814838591;18.600378760190267
9;28.48775843126687;15.621170879246735;14.871193477840416;26.880279731527896;46.08035281756237;9.8057152033937;18.60013083364599
10;28.48691482712569;15.620654597476078;14.871510873239094;26.879506735078497;46.08191884837801;9.806219739035157;18.599885187380778
11;28.486079942201332;15.620143605329591;14.871825419569184;26.878741700747266;46.083468809957736;9.806719895285408;18.599642066133807
12;28.485254606719927;15.619638412441974;14.87213679014252;26.877985390184485;46.08500115730825;9.80721514788006;18.599401712116588
13;28.48443964122811;15.61913952268868;14.87244466038823;26.87723855626618;46.08651436298342;9.807704975389916;18.59916436477091
14;28.48363585578535;15.618647433683936;14.872748708233196;26.876501942352483;46.08800691860995;9.808188859852454;18.59893026053231
15;28.48284404916458;15.618162636281681;14.873048614479318;26.87577628154496;46.089477336385556;9.80866628740318;18.59869963259288
16;28.482065008067114;15.61768561408717;14.87334406319205;26.875062295967123;46.0909241505684;9.809136748919018;18.598472710672212
17;28.48129950634614;15.617216842971239;14.873634742077964;26.87436069604386;46.09234591893178;9.809599740650636;18.598249720786423
18;28.480548304249847;15.61675679059664;14.873920342869898;26.873672179802632;46.09374122420634;9.810054764869365;18.598030885025597
19;28.479812147671762;15.61630591594879;14.874200561705278;26.87299743218066;46.09510867549067;9.810501330505804;18.597816421332197
20;28.47909176741962;15.615864668876785;14.874475099506945;26.87233712434578;46.096446909636995;9.810938953783849;18.597606543284257
21;28.478387878499444;15.615433489644474;14.87474366236166;26.871691913039324;46.0977545926134;9.811367158865778;18.597401459884562
22;28.477701179415444;15.615012808488782;14.875005961890844;26.871062439921005;46.09903042083127;9.811785478478686;18.597201375352
23;28.47703235148532;15.614603045189867;14.875261715621734;26.87044933093892;46.10027312244644;9.812193454543454;18.597006488919266
24;28.476382058173677;15.614204608650036;14.875510647356277;26.86985319571017;46.101481458626736;9.812590638796358;18.596816994635354
25;28.475750944445526;15.613817896485543;14.87575248752449;26.869274626920202;46.10265422478867;9.812976593401444;18.596633081172225
26;28.47513963613458;15.613443294627565;14.875986973546215;26.86871419973784;46.10379025179762;9.813350891554805;18.596454931638938
27;28.474548739331528;15.613081176935179;14.876213850173304;26.868172471247654;46.10488840713305;9.813713118076063;18.596282723398016
28;28.4739788397969;15.612731904822638;14.876432869833383;26.867649979900925;46.10594759602183;9.81406286999683;18.59611662789146
29;28.473430502386154;15.612395826895762;14.876643792962824;26.86714724498814;46.1069667625274;9.81439975712611;18.595956810469875
30;28.472904270501527;15.61207327860302;14.876846388327735;26.86666476612176;46.10794489060309;9.814723402603844;18.59580343022848
31;28.472400665562642;15.611764581899543;14.877040433341055;26.866203022750106;46.10888100510748;9.815033443444806;18.595656639849008
32;28.471920186499705;15.611470044924245;14.877225714366556;26.86576247368145;46.10977417277707;9.815329531062682;18.595516585449463
33;28.471463309267754;15.611189961691169;14.877402027012579;26.865343556635313;46.11062350315696;9.81561133177347;18.59538340643833
34;28.47103048638494;15.610924611794225;14.877569176414129;26.864946687808537;46.111428149488994;9.815878527282203;18.595257235376195
35;28.470622146492257;15.610674260127269;14.877726977506281;26.864572261470336;46.112187309558635;9.816130815155068;18.59513819784556
36;28.470238693939176;15.610439156618735;14.877875255281282;26.864220649571322;46.11290022649478;9.816367909261965;18.595026412325343
37;28.46988050838911;15.610219535979999;14.878013845030736;26.86389220137832;46.113566189523745;9.816589540199484;18.59492199007368
38;28.469547944452767;15.610015617470935;14.878142592585593;26.863587243133246;46.11418453468195;9.816795455699854;18.594825035018292
39;28.46924133134368;15.609827604679083;14.878261354526002;26.863306077729426;46.114754645475166;9.816985420996916;18.594735643652328
40;28.468960972560488;15.609655685316334;14.878369998389946;26.863048984416405;46.11527595349698;9.81715921918944;18.594653904940305
41;28.468707142904858;15.60950003147509;14.878468383949665;26.862816217700423;46.11574794040978;9.817316614565133;18.594579900151086
42;28.468480099495135;15.60936079758641;14.878556442805206;26.862608010558205;46.11617013251987;9.81745750828152;18.59451370310427
43;28.468280063742128;15.60923812321236;14.878634053353151;26.86242456874872;46.11654211062025;9.817581693716301;18.594455379582815
44;28.46810723359162;15.60913213083775;14.878701128669212;26.86226607443472;46.11686350383578;9.817689028380501;18.59440498762729
45;28.46796178006184;15.60904292629469;14.87875759358018;26.862132685005903;46.11713399172957;9.817779389016632;18.59436257738579
46;28.46784384707299;15.608970598651956;14.87880338476205;26.86202453291599;46.11735330461413;9.817852671781454;18.594328191062008
47;28.46775355131273;15.608915220128832;14.878838450833861;26.861941725556644;46.117521223827104;9.817908792406074;18.594301862875
